,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-27,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49
IGLV5-37,0.7017543859649122,0.7894736842105263,0.6842105263157895,0.6842105263157895,0.7894736842105263,0.7017543859649122,0.631578947368421,0.7017543859649122,0.7134502923976608,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.7192982456140351,0.7105263157894737,0.7192982456140351,0.7192982456140351,0.672514619883041,0.7719298245614035,0.7485380116959064,0.7192982456140351,0.7368421052631579,0.6206896551724138,0.7301587301587301,0.7666666666666667,0.0,0.9122807017543859,0.9298245614035088,0.9473684210526315,0.7894736842105263,0.7719298245614035,0.7894736842105263,0.5789473684210527,0.7894736842105263
IGLV10-54,0.7543859649122807,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7017543859649122,0.0,0.7368421052631579,0.7602339181286549,0.7543859649122807,0.763157894736842,0.7543859649122807,0.7894736842105263,0.6140350877192983,0.7017543859649122,0.6666666666666666,0.6432748538011696,0.7017543859649122,0.6549707602339182,0.7017543859649122,0.7192982456140351,0.6440677966101694,0.5873015873015873,0.6333333333333333,0.631578947368421,0.631578947368421,0.6140350877192983,0.6666666666666666,0.7192982456140351,0.6724137931034483,0.6491228070175439,0.5833333333333334,0.7017543859649122
IGLV2-23,0.7807017543859649,0.8508771929824561,0.763157894736842,0.763157894736842,0.8508771929824561,0.7807017543859649,0.763157894736842,0.9035087719298245,0.956140350877193,0.9210526315789473,0.0,0.9122807017543859,0.956140350877193,0.6403508771929824,0.6929824561403508,0.7280701754385965,0.6461988304093568,0.7105263157894737,0.6988304093567251,0.6754385964912281,0.6578947368421053,0.646551724137931,0.626984126984127,0.6583333333333333,0.7017543859649122,0.6842105263157895,0.6666666666666666,0.7192982456140351,0.8157894736842105,0.6403508771929824,0.6578947368421053,0.5789473684210527,0.7982456140350878
IGLV1-40,0.8771929824561403,0.0,0.8596491228070176,0.8596491228070176,1.0,0.8771929824561403,0.7368421052631579,0.8245614035087719,0.847953216374269,0.8421052631578947,0.8508771929824561,0.8421052631578947,0.8771929824561403,0.7543859649122807,0.7719298245614035,0.7719298245614035,0.7251461988304094,0.7719298245614035,0.7602339181286549,0.7543859649122807,0.7543859649122807,0.6551724137931034,0.7142857142857143,0.7333333333333333,0.7894736842105263,0.7894736842105263,0.7719298245614035,0.7894736842105263,0.8771929824561403,0.7192982456140351,0.7368421052631579,0.5614035087719298,0.7894736842105263
IGLV3-21,0.7368421052631579,0.7719298245614035,0.7192982456140351,0.7192982456140351,0.7719298245614035,0.7368421052631579,0.7017543859649122,0.7543859649122807,0.7309941520467836,0.7368421052631579,0.7105263157894737,0.7894736842105263,0.7543859649122807,0.7894736842105263,0.8070175438596491,0.8070175438596491,0.7076023391812866,0.0,0.8011695906432749,0.8070175438596491,0.8157894736842105,0.6694915254237288,0.7142857142857143,0.7333333333333333,0.7719298245614035,0.7719298245614035,0.7543859649122807,0.8245614035087719,0.7543859649122807,0.6666666666666666,0.6842105263157895,0.631578947368421,0.7017543859649122
IGLV1-44,0.9122807017543859,0.8596491228070176,0.0,0.9912280701754386,0.8596491228070176,0.8771929824561403,0.7368421052631579,0.7543859649122807,0.7777777777777777,0.7719298245614035,0.763157894736842,0.7543859649122807,0.8070175438596491,0.7192982456140351,0.7368421052631579,0.7719298245614035,0.6549707602339182,0.7192982456140351,0.7602339181286549,0.7543859649122807,0.7192982456140351,0.5614035087719298,0.6349206349206349,0.6833333333333333,0.6842105263157895,0.6842105263157895,0.6666666666666666,0.6842105263157895,0.7719298245614035,0.6666666666666666,0.6842105263157895,0.5263157894736842,0.7192982456140351
IGLV3-25,0.7485380116959064,0.7602339181286549,0.7602339181286549,0.7602339181286549,0.7602339181286549,0.7426900584795321,0.6549707602339182,0.6959064327485379,0.723196881091618,0.7076023391812866,0.6988304093567251,0.7543859649122807,0.7251461988304094,0.7485380116959064,0.9005847953216374,0.9181286549707602,0.7524366471734892,0.8011695906432749,0.0,0.9005847953216374,0.7660818713450293,0.7055555555555556,0.6878306878306878,0.6888888888888888,0.7485380116959064,0.7134502923976608,0.7309941520467836,0.7309941520467836,0.8128654970760234,0.7134502923976608,0.7309941520467836,0.5730994152046783,0.7251461988304094
IGLV1-47,0.9122807017543859,0.8596491228070176,0.9912280701754386,0.0,0.8596491228070176,0.8771929824561403,0.7368421052631579,0.7543859649122807,0.7777777777777778,0.7719298245614035,0.763157894736842,0.7543859649122807,0.8070175438596491,0.7192982456140351,0.7368421052631579,0.7719298245614035,0.6549707602339181,0.7192982456140351,0.7602339181286549,0.7543859649122807,0.7192982456140351,0.5614035087719298,0.6349206349206349,0.6833333333333333,0.6842105263157895,0.6842105263157895,0.6666666666666666,0.6842105263157895,0.7719298245614035,0.6666666666666666,0.6842105263157895,0.5263157894736842,0.7192982456140351
IGLV4-60,0.6507936507936508,0.7142857142857143,0.6349206349206349,0.6349206349206349,0.7142857142857143,0.6825396825396826,0.5873015873015873,0.6190476190476191,0.6296296296296297,0.6190476190476191,0.626984126984127,0.6349206349206349,0.6507936507936508,0.6666666666666666,0.6825396825396826,0.6984126984126984,0.6243386243386243,0.7142857142857143,0.6878306878306878,0.7142857142857143,0.6507936507936508,0.625,0.0,0.8888888888888888,0.7301587301587301,0.7936507936507936,0.7777777777777778,0.7301587301587301,0.6825396825396826,0.6349206349206349,0.6507936507936508,0.546875,0.6984126984126984
IGLV3-1,0.7368421052631579,0.7543859649122807,0.7192982456140351,0.7192982456140351,0.7543859649122807,0.7017543859649122,0.6140350877192983,0.6929824561403508,0.672514619883041,0.6754385964912281,0.6403508771929824,0.6666666666666666,0.6842105263157895,0.0,0.7543859649122807,0.7719298245614035,0.6812865497076023,0.7894736842105263,0.7485380116959064,0.7543859649122807,0.7807017543859649,0.675,0.6666666666666666,0.6833333333333333,0.7105263157894737,0.7280701754385965,0.7105263157894737,0.7280701754385965,0.7105263157894737,0.6842105263157895,0.7017543859649122,0.6403508771929824,0.6491228070175439
IGLV4-69,0.7166666666666667,0.7333333333333333,0.6833333333333333,0.6833333333333333,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.65,0.6833333333333332,0.6666666666666666,0.6583333333333333,0.6833333333333333,0.7,0.6833333333333333,0.7,0.7166666666666667,0.6555555555555556,0.7333333333333333,0.6888888888888888,0.7333333333333333,0.6833333333333333,0.6065573770491803,0.8888888888888888,0.0,0.7666666666666667,0.75,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.65,0.6666666666666666,0.5409836065573771,0.75
IGLV3-9,0.7368421052631579,0.7543859649122807,0.7192982456140351,0.7192982456140351,0.7543859649122807,0.7017543859649122,0.7192982456140351,0.6842105263157895,0.6608187134502924,0.6666666666666666,0.6578947368421053,0.7017543859649122,0.6842105263157895,0.7807017543859649,0.7543859649122807,0.7543859649122807,0.7134502923976608,0.8157894736842105,0.7660818713450293,0.7543859649122807,0.0,0.671875,0.6507936507936508,0.6833333333333333,0.7368421052631579,0.7017543859649122,0.7192982456140351,0.7368421052631579,0.7894736842105263,0.6666666666666666,0.6842105263157895,0.5789473684210527,0.6842105263157895
